line,method,arguments,return_object
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:36,ActiveSupport::Inflector::Inflections#initialize,[],"[[], [], [], [], {}, /(?=a)b/] (Array)"
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thread_safe-0.3.5/lib/thread_safe/mri_cache_backend.rb:21,ThreadSafe::MriCacheBackend#[]=,"[""value: #<ActiveSupport::Inflector::Inflections:0x007ffc34987c30> (ActiveSupport::Inflector::Inflections)"",""key: :en (Symbol)""]",#<ActiveSupport::Inflector::Inflections:0x007ffc34987c30> (ActiveSupport::Inflector::Inflections)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thread_safe-0.3.5/lib/thread_safe/non_concurrent_cache_backend.rb:15,ThreadSafe::NonConcurrentCacheBackend#[]=,"[""key: :en (Symbol)"",""value: #<ActiveSupport::Inflector::Inflections:0x007ffc34987c30> (ActiveSupport::Inflector::Inflections)""]",#<ActiveSupport::Inflector::Inflections:0x007ffc34987c30> (ActiveSupport::Inflector::Inflections)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /$/ (Regexp)"",""replacement: \""s\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /s$/i (Regexp)"",""replacement: \""s\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1es\"" (String)"",""rule: /^(ax|test)is$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1i\"" (String)"",""rule: /(octop|vir)us$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /(octop|vir)i$/i (Regexp)"",""replacement: \""\\\\1i\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1es\"" (String)"",""rule: /(alias|status)$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /(bu)s$/i (Regexp)"",""replacement: \""\\\\1ses\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /(buffal|tomat)o$/i (Regexp)"",""replacement: \""\\\\1oes\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1a\"" (String)"",""rule: /([ti])um$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1a\"" (String)"",""rule: /([ti])a$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""ses\"" (String)"",""rule: /sis$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1\\\\2ves\"" (String)"",""rule: /(?:([^f])fe|([lr])f)$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /(hive)$/i (Regexp)"",""replacement: \""\\\\1s\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /([^aeiouy]|qu)y$/i (Regexp)"",""replacement: \""\\\\1ies\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1es\"" (String)"",""rule: /(x|ch|ss|sh)$/i (Regexp)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""rule: /(matr|vert|ind)(?:ix|ex)$/i (Regexp)"",""replacement: \""\\\\1ices\"" (String)""]",[] (Array)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105,ActiveSupport::Inflector::Inflections#plural,"[""replacement: \""\\\\1ice\"" (String)"",""rule: /^(m|l)ouse$/i (Regexp)""]",[] (Array)
